NUTS_ID,NAME_LATN,AREA_TOT_2024,POP_TOT_2023,POP_09_RT_2023,POP_024_RT_2023,POP_65P_RT_2023,POP_80P_RT_2023,LIFE_EXP_2022,HIGH_EDU_2023,UNEMP_25P_2023,UNEMP_LT_25P_2023,GDP_CAP_PPS_2022,INC_PPS_2021,AREA_ART_RT,AREA_CUL_RT,AREA_BOI_RT,zone
EL51,"Anatoliki Makedonia, Thraki",14186,559730,8.136423,24.81679,23.970664,7.7987601,79.9,24.5,10.8,63.7,16800,10600,2.7421401381643875,19.321866629070918,53.44001127872551,EU27
EL52,Kentriki Makedonia,18838,1782630,8.043677,23.91955,22.847254,7.1724923,80.2,34.2,13.1,65.9,18800,11800,5.000530841915277,26.202356938103833,40.45015394415543,EU27
EL53,Dytiki Makedonia,9462,250453,7.35108,22.2405,25.565276,8.7864789,81.4,28.5,15.1,68.3,21400,12500,2.3039526527161276,16.73007820756711,43.384062566053686,EU27
EL54,Ipeiros,9152,318890,7.58067,22.57832,27.934084,9.2276334,82.7,36.3,12.4,66.1,16500,11700,1.507867132867133,7.801573426573427,54.43618881118881,EU27
EL61,Thessalia,14050,682189,8.052461,23.32184,25.31791,8.2547505,81.1,33.1,11.6,55.9,18500,11100,3.0676156583629894,28.15658362989324,38.1423487544484,EU27
EL62,Ionia Nisia,2301,202185,8.775132,22.50167,23.654574,7.0865791,80.5,22.3,13.7,31.7,20300,14700,6.86657974793568,22.990004345936548,36.8535419382877,EU27
EL63,Dytiki Ellada,11314,643188,8.246889,24.60805,23.561074,7.3015977,80.3,27.8,8.4,60.9,17300,10500,3.995050380060103,18.145660243945557,44.820576277178716,EU27
EL64,Sterea Ellada,15560,504167,7.91821,21.88243,25.895983,8.4440275,80.7,20,8.6,82.1,25500,10600,3.2069408740359897,15.083547557840618,46.857326478149105,EU27
EL65,Peloponnisos,15509,534345,7.72179,21.52261,26.43442,8.711413,80.8,26.2,8.6,60.3,21000,11300,4.661809272035592,22.541749951640984,36.120962022051714,EU27
ES11,Galicia,29571,2699424,6.804229,19.74921,26.301981,8.7739458,83.4,41.4,8.9,38.2,27900,15500,5.031956984883839,7.683203138209732,48.85867911129147,EU27
ES12,Principado de Asturias,10601,1006060,6.046359,18.32654,27.551538,8.3387671,82.5,43.6,11.3,49.8,27600,17200,3.2638430336760687,3.395906046599378,42.99594377888879,EU27
ES13,Cantabria,5326,588387,7.206481,21.67808,23.483354,6.913477,83.1,49.4,7.5,35.6,28200,16300,3.8302666165978225,2.5535110777318812,41.738640630867444,EU27
ES21,País Vasco,7229,2216302,7.807736,22.63884,23.473516,7.1708639,83.6,55.7,6.6,47,38600,20800,5.9482639369207355,10.471711163369761,58.5419836768571,EU27
ES22,Comunidad Foral de Navarra,10391,672155,8.996586,25.70508,20.446772,6.2091333,83.9,48.3,8.7,34.8,36400,18500,3.801366567221634,25.531710133769607,38.591088441920895,EU27
